Order Id,order date (DateOrders),Order Status,Order City,Order Country,Order Region,Order Zipcode,Market,Transaction Type
1,1/31/2018 22:56,COMPLETE,Bekasi,Indonesia,Southeast Asia,,Pacific Asia,DEBIT
2,1/13/2018 12:27,PENDING,Bikaner,India,South Asia,,Pacific Asia,TRANSFER
3,1/13/2018 12:06,CLOSED,Bikaner,India,South Asia,,Pacific Asia,CASH
4,1/13/2018 11:45,COMPLETE,Townsville,Australia,Oceania,,Pacific Asia,DEBIT
5,1/13/2018 11:24,PENDING_PAYMENT,Townsville,Australia,Oceania,,Pacific Asia,PAYMENT
6,1/13/2018 11:03,CANCELED,Toowoomba,Australia,Oceania,,Pacific Asia,TRANSFER
7,1/13/2018 10:42,COMPLETE,Guangzhou,China,Eastern Asia,,Pacific Asia,DEBIT
8,1/13/2018 10:21,PROCESSING,Guangzhou,China,Eastern Asia,,Pacific Asia,TRANSFER
9,1/13/2018 10:00,CLOSED,Guangzhou,China,Eastern Asia,,Pacific Asia,CASH
10,1/13/2018 9:39,CLOSED,Guangzhou,China,Eastern Asia,,Pacific Asia,CASH
11,1/13/2018 9:18,SUSPECTED_FRAUD,Tokio,Japn,Eastern Asia,,Pacific Asia,TRANSFER
12,1/13/2018 8:57,PENDING,Manado,Indonesia,Southeast Asia,,Pacific Asia,TRANSFER
13,1/13/2018 8:36,PENDING,Manado,Indonesia,Southeast Asia,,Pacific Asia,TRANSFER
14,1/13/2018 8:15,COMPLETE,Sangli,India,South Asia,,Pacific Asia,DEBIT
15,1/13/2018 7:54,PROCESSING,Sangli,India,South Asia,,Pacific Asia,TRANSFER
16,1/13/2018 7:33,COMPLETE,Sangli,India,South Asia,,Pacific Asia,DEBIT
17,1/13/2018 7:12,PENDING_PAYMENT,Sel,Corea del Sur,Eastern Asia,,Pacific Asia,PAYMENT
18,1/13/2018 6:51,CLOSED,Jabalpur,India,South Asia,,Pacific Asia,CASH
19,1/13/2018 6:30,COMPLETE,Jabalpur,India,South Asia,,Pacific Asia,DEBIT
20,1/13/2018 6:09,PENDING_PAYMENT,Jabalpur,India,South Asia,,Pacific Asia,PAYMENT
21,1/13/2018 5:48,PROCESSING,Jabalpur,India,South Asia,,Pacific Asia,TRANSFER
22,1/13/2018 5:27,PENDING,Jabalpur,India,South Asia,,Pacific Asia,TRANSFER
23,1/13/2018 5:06,PENDING,Geelong,Australia,Oceania,,Pacific Asia,TRANSFER
24,1/13/2018 4:45,CANCELED,Geelong,Australia,Oceania,,Pacific Asia,TRANSFER
25,1/13/2018 4:24,SUSPECTED_FRAUD,Brisbane,Australia,Oceania,,Pacific Asia,TRANSFER
26,1/13/2018 4:03,COMPLETE,Mandurah,Australia,Oceania,,Pacific Asia,DEBIT
27,1/13/2018 3:42,PENDING,Mandurah,Australia,Oceania,,Pacific Asia,TRANSFER
28,1/13/2018 3:21,PENDING_PAYMENT,Guilin,China,Eastern Asia,,Pacific Asia,PAYMENT
29,1/13/2018 3:00,COMPLETE,Guilin,China,Eastern Asia,,Pacific Asia,DEBIT
30,1/13/2018 2:39,PROCESSING,Guilin,China,Eastern Asia,,Pacific Asia,TRANSFER
31,1/13/2018 2:18,ON_HOLD,Guilin,China,Eastern Asia,,Pacific Asia,DEBIT
32,1/13/2018 1:57,COMPLETE,Delhi,India,South Asia,,Pacific Asia,DEBIT
33,1/13/2018 1:36,PENDING_PAYMENT,Delhi,India,South Asia,,Pacific Asia,PAYMENT
34,1/13/2018 1:15,COMPLETE,Suzhou,China,Eastern Asia,,Pacific Asia,DEBIT
35,1/13/2018 0:54,PENDING_PAYMENT,Suzhou,China,Eastern Asia,,Pacific Asia,PAYMENT
36,1/13/2018 0:33,PENDING_PAYMENT,Singapur,Singapur,Southeast Asia,,Pacific Asia,PAYMENT
37,1/13/2018 0:12,CLOSED,Hubli,India,South Asia,,Pacific Asia,CASH
38,01-12-2018 23:51,COMPLETE,Wollongong,Australia,Oceania,,Pacific Asia,DEBIT
39,01-12-2018 23:30,COMPLETE,Wollongong,Australia,Oceania,,Pacific Asia,DEBIT
40,01-12-2018 23:09,CANCELED,Wollongong,Australia,Oceania,,Pacific Asia,TRANSFER
41,01-12-2018 22:48,PENDING_PAYMENT,Singapur,Singapur,Southeast Asia,,Pacific Asia,PAYMENT
42,01-12-2018 22:27,COMPLETE,Singapur,Singapur,Southeast Asia,,Pacific Asia,DEBIT
43,01-12-2018 22:05,CLOSED,Medan,Indonesia,Southeast Asia,,Pacific Asia,CASH
44,01-12-2018 21:44,PENDING_PAYMENT,Medan,Indonesia,Southeast Asia,,Pacific Asia,PAYMENT
45,01-12-2018 21:23,COMPLETE,Canberra,Australia,Oceania,,Pacific Asia,DEBIT
46,01-12-2018 21:02,PENDING,Bangalore,India,South Asia,,Pacific Asia,TRANSFER
47,01-12-2018 20:41,PENDING,Bangalore,India,South Asia,,Pacific Asia,TRANSFER
48,01-12-2018 20:20,PROCESSING,Yiwu,China,Eastern Asia,,Pacific Asia,TRANSFER
49,2/24/2016 13:57,PENDING_PAYMENT,Mirzapur,India,South Asia,,Pacific Asia,PAYMENT
50,10/25/2016 14:39,PENDING_PAYMENT,Bursa,Turqua,West Asia,,Pacific Asia,PAYMENT
51,3/30/2016 4:37,PENDING_PAYMENT,Murray Bridge,Australia,Oceania,,Pacific Asia,PAYMENT
52,10/30/2016 1:31,PENDING_PAYMENT,Kartal,Turqua,West Asia,,Pacific Asia,PAYMENT
53,11/28/2016 1:18,PENDING_PAYMENT,Ulan Bator,Mongolia,Eastern Asia,,Pacific Asia,PAYMENT
54,12/31/2016 15:47,PENDING_PAYMENT,Estambul,Turqua,West Asia,,Pacific Asia,PAYMENT
55,10/25/2015 6:24,PENDING_PAYMENT,Raipur,India,South Asia,,Pacific Asia,PAYMENT
56,06-11-2016 15:12,PENDING_PAYMENT,Pasco,Estados Unidos,West of USA ,99301.0,USCA,PAYMENT
57,8/24/2016 21:45,PENDING_PAYMENT,Los Angeles,Estados Unidos,West of USA ,90049.0,USCA,PAYMENT
58,4/13/2016 10:12,PENDING_PAYMENT,San Francisco,Estados Unidos,West of USA ,94110.0,USCA,PAYMENT
59,5/22/2016 14:10,PENDING_PAYMENT,Overland Park,Estados Unidos,US Center ,66212.0,USCA,PAYMENT
60,10-04-2016 22:55,PENDING_PAYMENT,Ugep,Nigeria,West Africa,,Africa,PAYMENT
61,11-08-2016 12:32,PENDING_PAYMENT,Kinshasa,Repblica Democrtica del Congo,Central Africa,,Africa,PAYMENT
62,11-11-2016 05:21,PENDING_PAYMENT,Dakar,Senegal,West Africa,,Africa,PAYMENT
63,12-08-2016 00:14,PENDING_PAYMENT,Casablanca,Marruecos,North Africa,,Africa,PAYMENT
64,07-07-2015 05:31,PENDING_PAYMENT,Dortmund,Alemania,Western Europe,,Europe,PAYMENT
65,7/22/2017 7:16,PENDING_PAYMENT,Drancy,Francia,Western Europe,,Europe,PAYMENT
66,08-07-2017 06:33,PENDING_PAYMENT,Nantes,Francia,Western Europe,,Europe,PAYMENT
67,9/22/2015 7:41,PENDING_PAYMENT,Groningen,Pases Bajos,Western Europe,,Europe,PAYMENT
68,07-02-2017 09:03,PENDING_PAYMENT,Gateshead,Reino Unido,Northern Europe,,Europe,PAYMENT
69,09-08-2015 12:15,PENDING_PAYMENT,Eastbourne,Reino Unido,Northern Europe,,Europe,PAYMENT
70,8/20/2017 7:03,PENDING_PAYMENT,Hayange,Francia,Western Europe,,Europe,PAYMENT
71,7/22/2017 7:16,PENDING_PAYMENT,Drancy,Francia,Western Europe,,Europe,PAYMENT
72,08-04-2017 02:31,PENDING_PAYMENT,Portsmouth,Reino Unido,Northern Europe,,Europe,PAYMENT
73,9/18/2017 1:14,PENDING_PAYMENT,Gelsenkirchen,Alemania,Western Europe,,Europe,PAYMENT
74,07-02-2015 19:42,PENDING_PAYMENT,Nice,Francia,Western Europe,,Europe,PAYMENT
75,3/28/2015 0:55,PENDING_PAYMENT,Petapa,Guatemala,Central America,,LATAM,PAYMENT
76,04-02-2017 16:43,PENDING_PAYMENT,Mejicanos,El Salvador,Central America,,LATAM,PAYMENT
77,05-05-2017 14:23,PENDING_PAYMENT,David,Panam,Central America,,LATAM,PAYMENT
78,4/25/2015 4:44,PENDING_PAYMENT,Santo Domingo,Repblica Dominicana,Caribbean,,LATAM,PAYMENT
79,4/25/2015 1:14,PENDING_PAYMENT,Cabimas,Venezuela,South America,,LATAM,PAYMENT
80,4/25/2015 1:14,PENDING_PAYMENT,Cabimas,Venezuela,South America,,LATAM,PAYMENT
81,06-06-2017 15:03,PENDING_PAYMENT,Santo Domingo,Repblica Dominicana,Caribbean,,LATAM,PAYMENT
82,2/18/2017 16:36,PENDING_PAYMENT,Dos Quebradas,Colombia,South America,,LATAM,PAYMENT
83,4/26/2015 3:10,PENDING_PAYMENT,Ilopango,El Salvador,Central America,,LATAM,PAYMENT
84,04-10-2015 00:02,PENDING_PAYMENT,Tegucigalpa,Honduras,Central America,,LATAM,PAYMENT
85,04-11-2017 15:49,PENDING_PAYMENT,Juazeiro,Brasil,South America,,LATAM,PAYMENT
86,4/25/2015 4:44,PENDING_PAYMENT,Santo Domingo,Repblica Dominicana,Caribbean,,LATAM,PAYMENT
87,3/16/2017 2:54,PENDING_PAYMENT,Mexico City,Mxico,Central America,,LATAM,PAYMENT
88,3/29/2015 10:33,PENDING_PAYMENT,Tlaquepaque,Mxico,Central America,,LATAM,PAYMENT
89,02-03-2015 00:28,PENDING_PAYMENT,Puebla,Mxico,Central America,,LATAM,PAYMENT
90,02-03-2015 00:28,PENDING_PAYMENT,Puebla,Mxico,Central America,,LATAM,PAYMENT
91,2/18/2017 13:05,PENDING_PAYMENT,Mexico City,Mxico,Central America,,LATAM,PAYMENT
92,1/18/2017 19:37,PENDING_PAYMENT,So Paulo,Brasil,South America,,LATAM,PAYMENT
93,3/13/2015 18:59,PENDING,Montevideo,Uruguay,South America,,LATAM,TRANSFER
94,02-07-2017 09:47,PENDING,Buenos Aires,Argentina,South America,,LATAM,TRANSFER
95,04-03-2015 19:08,PENDING,So Paulo,Brasil,South America,,LATAM,TRANSFER
96,4/13/2017 14:25,PENDING,Barueri,Brasil,South America,,LATAM,TRANSFER
97,04-02-2015 03:33,PENDING,Arapongas,Brasil,South America,,LATAM,TRANSFER
98,1/31/2017 11:43,PENDING,Camagey,Cuba,Caribbean,,LATAM,TRANSFER
99,3/30/2017 23:12,PENDING,Las Tunas,Cuba,Caribbean,,LATAM,TRANSFER
100,3/25/2017 23:02,PENDING,Santo Domingo,Repblica Dominicana,Caribbean,,LATAM,TRANSFER
101,02-05-2017 01:01,PENDING,Tepic,Mxico,Central America,,LATAM,TRANSFER
102,4/15/2017 14:04,PENDING,San Miguelito,Panam,Central America,,LATAM,TRANSFER
103,2/15/2015 18:40,PENDING,Ixtapaluca,Mxico,Central America,,LATAM,TRANSFER
104,5/27/2017 16:48,PENDING,Macei,Brasil,South America,,LATAM,TRANSFER
105,2/25/2015 20:46,PENDING,David,Panam,Central America,,LATAM,TRANSFER
106,5/31/2017 11:33,PENDING,Belo Horizonte,Brasil,South America,,LATAM,TRANSFER
107,1/15/2015 4:32,PENDING,Santiago de Cuba,Cuba,Caribbean,,LATAM,TRANSFER
108,4/26/2017 15:16,PENDING,San Pedro Sula,Honduras,Central America,,LATAM,TRANSFER
109,03-07-2017 19:12,PENDING,Lima,Per,South America,,LATAM,TRANSFER
110,4/20/2017 18:47,PENDING,Holgun,Cuba,Caribbean,,LATAM,TRANSFER
111,03-03-2017 06:14,PENDING,Orizaba,Mxico,Central America,,LATAM,TRANSFER
112,06-04-2017 16:06,PENDING,Managua,Nicaragua,Central America,,LATAM,TRANSFER
113,5/16/2017 21:33,PENDING,Villahermosa,Mxico,Central America,,LATAM,TRANSFER
114,02-07-2017 09:47,PENDING,Buenos Aires,Argentina,South America,,LATAM,TRANSFER
115,5/27/2015 1:32,PENDING,Quixad,Brasil,South America,,LATAM,TRANSFER
116,3/28/2017 5:20,PENDING,Mejicanos,El Salvador,Central America,,LATAM,TRANSFER
117,02-05-2017 01:01,PENDING,Tepic,Mxico,Central America,,LATAM,TRANSFER
118,05-02-2017 03:00,PENDING,Mixco,Guatemala,Central America,,LATAM,TRANSFER
119,04-03-2017 23:53,PENDING,Nueva Gerona,Cuba,Caribbean,,LATAM,TRANSFER
120,4/30/2015 23:49,PROCESSING,Buenos Aires,Argentina,South America,,LATAM,TRANSFER
121,4/27/2017 3:32,PROCESSING,Chimaltenango,Guatemala,Central America,,LATAM,TRANSFER
122,02-02-2015 03:27,PROCESSING,Villa Nueva,Guatemala,Central America,,LATAM,TRANSFER
123,2/13/2017 16:05,PROCESSING,Quito,Ecuador,South America,,LATAM,TRANSFER
124,5/27/2017 23:28,PROCESSING,Managua,Nicaragua,Central America,,LATAM,TRANSFER
125,3/19/2017 19:53,PROCESSING,Valle de La Pascua,Venezuela,South America,,LATAM,TRANSFER
126,05-07-2015 15:56,PROCESSING,San Miguelito,Panam,Central America,,LATAM,TRANSFER
127,4/27/2015 11:23,PROCESSING,San Miguelito,Panam,Central America,,LATAM,TRANSFER
128,4/14/2017 18:06,PROCESSING,Petapa,Guatemala,Central America,,LATAM,TRANSFER
129,05-07-2015 01:13,PROCESSING,Cotia,Brasil,South America,,LATAM,TRANSFER
130,06-12-2017 05:55,PROCESSING,Itapecuru Mirim,Brasil,South America,,LATAM,TRANSFER
131,3/26/2017 15:30,PROCESSING,Len,Nicaragua,Central America,,LATAM,TRANSFER
132,2/17/2017 11:52,PROCESSING,Tlalpan,Mxico,Central America,,LATAM,TRANSFER
133,1/25/2017 1:13,PROCESSING,Apopa,El Salvador,Central America,,LATAM,TRANSFER
134,02-06-2017 06:27,PROCESSING,Cipolletti,Argentina,South America,,LATAM,TRANSFER
135,5/22/2017 6:08,PROCESSING,Mejicanos,El Salvador,Central America,,LATAM,TRANSFER
136,2/21/2017 1:00,PROCESSING,La Ceiba,Honduras,Central America,,LATAM,TRANSFER
137,01-06-2015 19:26,PROCESSING,Crdoba,Mxico,Central America,,LATAM,TRANSFER
138,1/15/2017 4:44,ON_HOLD,Kuito,Angola,Central Africa,,Africa,DEBIT
139,10/28/2016 19:23,ON_HOLD,Jartum,Sudn,North Africa,,Africa,DEBIT
140,9/19/2016 13:39,ON_HOLD,Hargeysa,Somalia,East Africa,,Africa,DEBIT
141,8/25/2016 22:16,ON_HOLD,Kenitra,Marruecos,North Africa,,Africa,DEBIT
142,10/28/2016 19:23,ON_HOLD,Jartum,Sudn,North Africa,,Africa,DEBIT
143,10-07-2016 23:26,ON_HOLD,Abidjan,Costa de Marfil,West Africa,,Africa,DEBIT
144,11-03-2016 21:49,ON_HOLD,Abu Kabir,Egipto,North Africa,,Africa,DEBIT
145,8/25/2016 22:16,ON_HOLD,Kenitra,Marruecos,North Africa,,Africa,DEBIT
146,11-03-2017 13:05,COMPLETE,Perugia,Italia,Southern Europe,,Europe,DEBIT
147,10/14/2017 11:42,COMPLETE,Nuremberg,Alemania,Western Europe,,Europe,DEBIT
148,11-04-2017 01:21,COMPLETE,Reims,Francia,Western Europe,,Europe,DEBIT
149,10/16/2017 1:12,COMPLETE,Halle,Alemania,Western Europe,,Europe,DEBIT
150,11-03-2017 18:20,COMPLETE,Bremerhaven,Alemania,Western Europe,,Europe,DEBIT
151,10/13/2017 3:08,COMPLETE,Portici,Italia,Southern Europe,,Europe,DEBIT
152,11-02-2017 10:06,COMPLETE,Bielefeld,Alemania,Western Europe,,Europe,DEBIT
153,10/29/2017 12:55,COMPLETE,London,Reino Unido,Northern Europe,,Europe,DEBIT
154,10/13/2017 8:44,COMPLETE,Drancy,Francia,Western Europe,,Europe,DEBIT
155,10-11-2017 06:17,COMPLETE,Duisburg,Alemania,Western Europe,,Europe,DEBIT
156,10/30/2017 1:10,COMPLETE,Bradford,Reino Unido,Northern Europe,,Europe,DEBIT
157,10/13/2017 14:41,COMPLETE,Agrigento,Italia,Southern Europe,,Europe,DEBIT
158,11-03-2017 03:58,COMPLETE,Oldham,Reino Unido,Northern Europe,,Europe,DEBIT
159,10-10-2017 04:21,COMPLETE,Palermo,Italia,Southern Europe,,Europe,DEBIT
160,11-04-2017 05:12,COMPLETE,Madrid,Espaa,Southern Europe,,Europe,DEBIT
161,10/26/2017 14:51,COMPLETE,Nancy,Francia,Western Europe,,Europe,DEBIT
162,10/13/2017 13:59,COMPLETE,Girona,Espaa,Southern Europe,,Europe,DEBIT
163,11-01-2017 20:05,COMPLETE,Laon,Francia,Western Europe,,Europe,DEBIT
164,10/17/2017 11:32,COMPLETE,Hartlepool,Reino Unido,Northern Europe,,Europe,DEBIT
165,11-01-2017 19:02,COMPLETE,Pontault-Combault,Francia,Western Europe,,Europe,DEBIT
166,10/13/2017 12:35,COMPLETE,La Rochelle,Francia,Western Europe,,Europe,DEBIT
167,11-01-2017 18:20,COMPLETE,Edinburgh,Reino Unido,Northern Europe,,Europe,DEBIT
168,11-01-2017 05:44,COMPLETE,Acerra,Italia,Southern Europe,,Europe,DEBIT
169,11-02-2017 13:15,COMPLETE,Hanover,Alemania,Western Europe,,Europe,DEBIT
170,10/13/2017 18:11,COMPLETE,Manchester,Reino Unido,Northern Europe,,Europe,DEBIT
171,10-11-2017 22:03,COMPLETE,Messina,Italia,Southern Europe,,Europe,DEBIT
172,11-03-2017 14:08,COMPLETE,Wilhelmshaven,Alemania,Western Europe,,Europe,DEBIT
173,10/26/2017 18:21,COMPLETE,Letchworth,Reino Unido,Northern Europe,,Europe,DEBIT
174,10-11-2017 02:26,COMPLETE,Kilwinning,Reino Unido,Northern Europe,,Europe,DEBIT
175,10-02-2017 11:01,COMPLETE,Villeneuve-le-Roi,Francia,Western Europe,,Europe,DEBIT
176,09-08-2017 03:42,COMPLETE,Barakaldo,Espaa,Southern Europe,,Europe,DEBIT
177,9/17/2015 23:17,COMPLETE,Estocolmo,Suecia,Northern Europe,,Europe,DEBIT
178,10-02-2015 07:40,COMPLETE,Aylesbury,Reino Unido,Northern Europe,,Europe,DEBIT
179,08-08-2017 10:13,COMPLETE,Langenhagen,Alemania,Western Europe,,Europe,DEBIT
180,8/17/2015 18:35,COMPLETE,Birmingham,Reino Unido,Northern Europe,,Europe,DEBIT
181,9/23/2015 9:57,COMPLETE,Amsterdam,Pases Bajos,Western Europe,,Europe,DEBIT
182,10/23/2015 8:31,COMPLETE,Viena,Austria,Western Europe,,Europe,DEBIT
183,07-11-2015 18:49,COMPLETE,Viena,Austria,Western Europe,,Europe,DEBIT
184,05-08-2016 17:42,SUSPECTED_FRAUD,Houston,Estados Unidos,US Center ,77041.0,USCA,TRANSFER
185,04-02-2016 19:51,SUSPECTED_FRAUD,Gilbert,Estados Unidos,West of USA ,85234.0,USCA,TRANSFER
186,8/14/2016 2:51,SUSPECTED_FRAUD,San Jose,Estados Unidos,West of USA ,95123.0,USCA,TRANSFER
187,04-02-2016 19:51,SUSPECTED_FRAUD,Gilbert,Estados Unidos,West of USA ,85234.0,USCA,TRANSFER
188,5/18/2016 16:38,SUSPECTED_FRAUD,Fresno,Estados Unidos,West of USA ,93727.0,USCA,TRANSFER
189,05-05-2016 13:40,SUSPECTED_FRAUD,Peoria,Estados Unidos,West of USA ,85345.0,USCA,TRANSFER
190,4/21/2016 2:50,SUSPECTED_FRAUD,Cincinnati,Estados Unidos,East of USA,45231.0,USCA,TRANSFER
191,07-01-2016 08:10,SUSPECTED_FRAUD,Columbus,Estados Unidos,US Center ,47201.0,USCA,TRANSFER
192,4/21/2016 2:50,SUSPECTED_FRAUD,Cincinnati,Estados Unidos,East of USA,45231.0,USCA,TRANSFER
193,12/17/2016 8:48,SUSPECTED_FRAUD,Ottawa,Canada,Canada,,USCA,TRANSFER
194,05-08-2016 17:42,SUSPECTED_FRAUD,Houston,Estados Unidos,US Center ,77041.0,USCA,TRANSFER
195,12/17/2016 8:48,SUSPECTED_FRAUD,Ottawa,Canada,Canada,,USCA,TRANSFER
196,8/30/2016 14:02,SUSPECTED_FRAUD,Kitchener,Canada,Canada,,USCA,TRANSFER
197,7/27/2016 6:01,SUSPECTED_FRAUD,Philadelphia,Estados Unidos,East of USA,19134.0,USCA,TRANSFER
198,7/17/2016 10:14,SUSPECTED_FRAUD,Des Plaines,Estados Unidos,US Center ,60016.0,USCA,TRANSFER
199,07-06-2016 10:26,SUSPECTED_FRAUD,Elmhurst,Estados Unidos,US Center ,60126.0,USCA,TRANSFER
200,09-09-2016 22:05,CANCELED,Antananarivo,Madagascar,East Africa,,Africa,TRANSFER
201,8/26/2016 12:38,CANCELED,Algiers,Argelia,North Africa,,Africa,TRANSFER
202,1/16/2017 22:04,CANCELED,Monrovia,Liberia,West Africa,,Africa,TRANSFER
203,1/16/2017 22:04,CANCELED,Monrovia,Liberia,West Africa,,Africa,TRANSFER
204,9/28/2016 10:19,CANCELED,Jartum,Sudn,North Africa,,Africa,TRANSFER
205,09-03-2016 15:26,CANCELED,Gagnoa,Costa de Marfil,West Africa,,Africa,TRANSFER
206,9/16/2016 1:13,PENDING,Livingstone,Zambia,East Africa,,Africa,TRANSFER
207,10/20/2016 3:59,PENDING,Fes,Marruecos,North Africa,,Africa,TRANSFER
208,01-07-2017 00:11,PENDING,Cairo,Egipto,North Africa,,Africa,TRANSFER
209,10-10-2016 06:06,PENDING,Dakar,Senegal,West Africa,,Africa,TRANSFER
210,09-06-2016 13:30,PENDING,Hurghada,Egipto,North Africa,,Africa,TRANSFER
211,01-06-2017 01:25,PENDING,Kenitra,Marruecos,North Africa,,Africa,TRANSFER
212,12/28/2016 7:33,PENDING,Abidjan,Costa de Marfil,West Africa,,Africa,TRANSFER
213,8/25/2016 18:46,PENDING,Hurghada,Egipto,North Africa,,Africa,TRANSFER
214,09-05-2016 10:10,PENDING,Niamey,Nger,West Africa,,Africa,TRANSFER
215,11/28/2016 9:00,PENDING,Sale,Marruecos,North Africa,,Africa,TRANSFER
216,09-02-2016 13:30,PENDING,Pretoria,SudAfrica,Southern Africa,,Africa,TRANSFER
217,11/19/2016 21:27,PENDING,Marrakech,Marruecos,North Africa,,Africa,TRANSFER
218,9/14/2016 5:26,PENDING,Bur Sudan,Sudn,North Africa,,Africa,TRANSFER
219,11-05-2016 09:13,PENDING,Lagos,Nigeria,West Africa,,Africa,TRANSFER
220,12-08-2016 12:08,PENDING,Lagos,Nigeria,West Africa,,Africa,TRANSFER
221,1/14/2017 14:22,PROCESSING,Quelimane,Mozambique,East Africa,,Africa,TRANSFER
222,11-05-2016 19:43,PROCESSING,Port Elizabeth,SudAfrica,Southern Africa,,Africa,TRANSFER
223,9/17/2016 23:07,PROCESSING,Shinyanga,Tanzania,East Africa,,Africa,TRANSFER
224,11/14/2016 13:14,PROCESSING,Kismaayo,Somalia,East Africa,,Africa,TRANSFER
225,12-11-2016 15:49,PROCESSING,Butare,Ruanda,East Africa,,Africa,TRANSFER
226,12-11-2016 15:49,PROCESSING,Butare,Ruanda,East Africa,,Africa,TRANSFER
227,11-08-2016 13:14,PROCESSING,Cairo,Egipto,North Africa,,Africa,TRANSFER
228,11/22/2016 2:00,PROCESSING,Newcastle,SudAfrica,Southern Africa,,Africa,TRANSFER
229,8/31/2016 12:06,COMPLETE,Estambul,Turqua,West Asia,,Pacific Asia,DEBIT
230,09-03-2016 13:41,COMPLETE,Jerusaln,Israel,West Asia,,Pacific Asia,DEBIT
231,2/16/2016 4:09,COMPLETE,Gold Coast,Australia,Oceania,,Pacific Asia,DEBIT
232,12/31/2015 19:27,COMPLETE,Newcastle,Australia,Oceania,,Pacific Asia,DEBIT
233,3/26/2016 8:07,COMPLETE,Porirua,Nueva Zelanda,Oceania,,Pacific Asia,DEBIT
234,01-02-2016 00:11,COMPLETE,Mildura,Australia,Oceania,,Pacific Asia,DEBIT
235,1/27/2018 2:38,COMPLETE,Brisbane,Australia,Oceania,,Pacific Asia,DEBIT
236,01-03-2016 07:22,COMPLETE,Daca,Banglads,South Asia,,Pacific Asia,DEBIT
237,2/14/2016 5:54,COMPLETE,Kanpur,India,South Asia,,Pacific Asia,DEBIT
238,11/28/2015 1:06,COMPLETE,Bangkok,Tailandia,Southeast Asia,,Pacific Asia,DEBIT
239,12-11-2015 15:17,COMPLETE,Bangkok,Tailandia,Southeast Asia,,Pacific Asia,DEBIT
240,9/17/2016 4:12,COMPLETE,Bagdad,Irak,West Asia,,Pacific Asia,DEBIT
241,09-03-2016 13:41,COMPLETE,Jerusaln,Israel,West Asia,,Pacific Asia,DEBIT
242,12-12-2016 01:59,COMPLETE,Adana,Turqua,West Asia,,Pacific Asia,DEBIT
243,10/28/2016 15:11,COMPLETE,Riyadh,Arabia Saud,West Asia,,Pacific Asia,DEBIT
244,12/27/2017 20:01,COMPLETE,Shenzhen,China,Eastern Asia,,Pacific Asia,DEBIT
245,02-12-2016 12:34,COMPLETE,Tianjin,China,Eastern Asia,,Pacific Asia,DEBIT
246,3/15/2016 7:58,COMPLETE,Perth,Australia,Oceania,,Pacific Asia,DEBIT
247,3/28/2016 0:25,COMPLETE,Dunedin,Nueva Zelanda,Oceania,,Pacific Asia,DEBIT
248,3/14/2016 20:03,COMPLETE,Melbourne,Australia,Oceania,,Pacific Asia,DEBIT
249,11/18/2015 9:53,COMPLETE,Ulhasnagar,India,South Asia,,Pacific Asia,DEBIT
250,12/20/2015 16:29,COMPLETE,Manila,Filipinas,Southeast Asia,,Pacific Asia,DEBIT
251,12-12-2016 01:59,COMPLETE,Adana,Turqua,West Asia,,Pacific Asia,DEBIT
