Shipping Id,Shipping Mode,Days for shipping (real),Days for shipment (scheduled)
1,Standard Class,3,4
2,Standard Class,5,4
3,Standard Class,4,4
4,Standard Class,3,4
5,Standard Class,2,4
6,Standard Class,6,4
7,First Class,2,1
8,First Class,2,1
9,Second Class,3,2
10,First Class,2,1
11,Second Class,6,2
12,Second Class,5,2
13,Second Class,4,2
14,First Class,2,1
15,First Class,2,1
16,First Class,2,1
17,Second Class,5,2
18,First Class,2,1
19,First Class,2,1
20,Same Day,0,0
21,Same Day,0,0
22,Standard Class,5,4
23,Second Class,4,2
24,Second Class,3,2
25,Second Class,2,2
26,Second Class,6,2
27,Second Class,5,2
28,Standard Class,4,4
29,Standard Class,3,4
30,Standard Class,2,4
31,Standard Class,6,4
32,Standard Class,5,4
33,Standard Class,4,4
34,First Class,2,1
35,First Class,2,1
36,First Class,2,1
37,First Class,2,1
38,First Class,2,1
39,Same Day,1,0
40,Same Day,1,0
41,Same Day,1,0
42,Same Day,1,0
43,Standard Class,4,4
44,Standard Class,3,4
45,Standard Class,2,4
46,Standard Class,6,4
47,Second Class,5,2
48,Standard Class,4,4
49,Second Class,5,2
50,Second Class,2,2
51,Second Class,6,2
52,Second Class,2,2
53,Second Class,3,2
54,Second Class,5,2
55,Second Class,6,2
56,Second Class,2,2
57,Second Class,5,2
58,Second Class,6,2
59,Second Class,4,2
60,Second Class,2,2
61,Second Class,5,2
62,Second Class,5,2
63,Second Class,5,2
64,Second Class,3,2
65,Second Class,2,2
66,Second Class,6,2
67,Second Class,4,2
68,Second Class,2,2
69,Second Class,3,2
70,Second Class,3,2
71,Second Class,2,2
72,Second Class,4,2
73,Second Class,3,2
74,Second Class,6,2
75,Second Class,6,2
76,Second Class,5,2
77,Second Class,4,2
78,Second Class,5,2
79,Second Class,5,2
80,Second Class,5,2
81,Second Class,3,2
82,Second Class,4,2
83,Second Class,4,2
84,Second Class,4,2
85,Second Class,4,2
86,Second Class,5,2
87,Second Class,6,2
88,Second Class,2,2
89,Second Class,4,2
90,Second Class,4,2
91,Second Class,4,2
92,Second Class,4,2
93,Standard Class,5,4
94,Standard Class,6,4
95,Standard Class,4,4
96,Standard Class,2,4
97,Standard Class,6,4
98,Standard Class,2,4
99,Standard Class,3,4
100,Standard Class,5,4
101,Standard Class,4,4
102,Standard Class,3,4
103,Standard Class,3,4
104,Standard Class,3,4
105,Standard Class,4,4
106,Standard Class,2,4
107,Standard Class,4,4
108,Standard Class,5,4
109,Standard Class,6,4
110,Standard Class,4,4
111,Standard Class,5,4
112,Standard Class,4,4
113,Standard Class,3,4
114,Standard Class,6,4
115,Standard Class,3,4
116,Standard Class,5,4
117,Standard Class,4,4
118,Standard Class,6,4
119,Standard Class,4,4
120,Standard Class,2,4
121,Standard Class,5,4
122,Standard Class,4,4
123,Standard Class,5,4
124,Standard Class,2,4
125,Standard Class,5,4
126,Standard Class,4,4
127,Standard Class,6,4
128,Standard Class,6,4
129,Standard Class,2,4
130,Standard Class,3,4
131,Standard Class,2,4
132,Standard Class,2,4
133,Standard Class,6,4
134,Standard Class,3,4
135,Standard Class,5,4
136,Standard Class,5,4
137,Standard Class,5,4
138,Second Class,6,2
139,Second Class,6,2
140,Second Class,3,2
141,Second Class,5,2
142,Second Class,6,2
143,Second Class,4,2
144,Second Class,4,2
145,Second Class,5,2
146,Second Class,3,2
147,Second Class,4,2
148,Second Class,3,2
149,Second Class,6,2
150,Second Class,3,2
151,Second Class,6,2
152,Second Class,6,2
153,Second Class,5,2
154,Second Class,2,2
155,Second Class,3,2
156,Second Class,5,2
157,Second Class,4,2
158,Second Class,2,2
159,Second Class,4,2
160,Second Class,4,2
161,Second Class,5,2
162,Second Class,2,2
163,Second Class,6,2
164,Second Class,4,2
165,Second Class,3,2
166,Second Class,3,2
167,Second Class,6,2
168,Second Class,5,2
169,Second Class,5,2
170,Second Class,4,2
171,Second Class,3,2
172,Second Class,6,2
173,Second Class,5,2
174,Second Class,2,2
175,Second Class,5,2
176,Second Class,5,2
177,Second Class,6,2
178,Second Class,4,2
179,Second Class,5,2
180,Second Class,4,2
181,Second Class,4,2
182,Second Class,5,2
183,Second Class,5,2
184,Standard Class,5,4
185,Standard Class,5,4
186,Standard Class,6,4
187,Standard Class,5,4
188,Standard Class,2,4
189,Standard Class,3,4
190,Standard Class,3,4
191,Standard Class,2,4
192,Standard Class,3,4
193,Standard Class,6,4
194,Standard Class,5,4
195,Standard Class,6,4
196,Standard Class,4,4
197,Standard Class,2,4
198,Standard Class,4,4
199,Standard Class,6,4
200,Standard Class,2,4
201,Standard Class,6,4
202,Standard Class,4,4
203,Standard Class,4,4
204,Standard Class,5,4
205,Standard Class,2,4
206,Standard Class,2,4
207,Standard Class,4,4
208,Standard Class,5,4
209,Standard Class,5,4
210,Standard Class,2,4
211,Standard Class,5,4
212,Standard Class,6,4
213,Standard Class,5,4
214,Standard Class,4,4
215,Standard Class,5,4
216,Standard Class,3,4
217,Standard Class,4,4
218,Standard Class,2,4
219,Standard Class,5,4
220,Standard Class,4,4
221,Standard Class,5,4
222,Standard Class,5,4
223,Standard Class,3,4
224,Standard Class,3,4
225,Standard Class,5,4
226,Standard Class,5,4
227,Standard Class,2,4
228,Standard Class,4,4
229,Standard Class,2,4
230,Standard Class,2,4
231,Standard Class,4,4
232,Standard Class,3,4
233,Standard Class,2,4
234,Standard Class,5,4
235,Standard Class,6,4
236,Standard Class,4,4
237,Standard Class,2,4
238,Standard Class,5,4
239,Standard Class,6,4
240,Standard Class,4,4
241,Standard Class,2,4
242,Standard Class,4,4
243,Standard Class,4,4
244,Standard Class,2,4
245,Standard Class,4,4
246,Standard Class,3,4
247,Standard Class,2,4
248,Standard Class,4,4
249,Standard Class,5,4
250,Standard Class,6,4
251,Standard Class,4,4
252,Standard Class,4,4
253,Standard Class,4,4
254,Standard Class,5,4
255,Standard Class,3,4
256,Standard Class,3,4
257,Standard Class,4,4
258,Standard Class,4,4
259,Standard Class,6,4
260,Standard Class,3,4
261,Standard Class,4,4
262,Standard Class,2,4
263,Standard Class,4,4
264,Standard Class,5,4
265,Standard Class,5,4
266,Standard Class,4,4
267,Standard Class,2,4
268,Standard Class,3,4
269,Standard Class,4,4
270,Standard Class,5,4
271,Standard Class,2,4
272,Standard Class,2,4
273,Standard Class,4,4
274,Standard Class,4,4
275,Standard Class,2,4
276,Standard Class,3,4
277,Standard Class,4,4
278,Standard Class,6,4
279,Standard Class,4,4
280,Standard Class,5,4
281,Standard Class,3,4
282,Standard Class,3,4
283,Standard Class,6,4
284,Standard Class,5,4
285,Standard Class,4,4
286,Standard Class,6,4
287,Standard Class,5,4
288,Standard Class,6,4
289,Standard Class,5,4
290,Standard Class,2,4
291,Standard Class,5,4
292,Standard Class,5,4
293,Standard Class,3,4
294,Standard Class,2,4
295,Standard Class,3,4
296,Standard Class,2,4
297,Standard Class,2,4
298,Standard Class,2,4
299,Standard Class,6,4
300,Standard Class,6,4
301,Standard Class,6,4
302,Standard Class,6,4
303,Standard Class,3,4
304,Standard Class,3,4
305,Standard Class,6,4
306,Standard Class,2,4
307,Standard Class,4,4
308,Standard Class,2,4
309,Standard Class,5,4
310,Standard Class,6,4
311,Standard Class,4,4
312,Standard Class,3,4
313,Standard Class,6,4
314,Standard Class,2,4
315,Standard Class,5,4
316,Standard Class,6,4
317,Standard Class,5,4
318,Standard Class,6,4
319,Standard Class,3,4
320,Standard Class,6,4
321,Standard Class,2,4
322,Standard Class,4,4
323,Standard Class,6,4
324,Standard Class,3,4
325,Standard Class,2,4
326,Standard Class,4,4
327,Standard Class,2,4
328,Standard Class,4,4
329,Standard Class,3,4
330,Standard Class,4,4
331,Standard Class,5,4
332,Standard Class,6,4
333,Standard Class,6,4
334,Standard Class,5,4
335,Standard Class,5,4
336,Standard Class,3,4
337,Standard Class,3,4
338,Standard Class,5,4
339,Standard Class,3,4
340,Standard Class,4,4
341,Standard Class,4,4
342,Standard Class,3,4
343,Standard Class,4,4
344,Standard Class,5,4
345,Standard Class,3,4
346,Standard Class,2,4
347,Standard Class,3,4
348,Standard Class,2,4
349,Standard Class,4,4
350,Standard Class,2,4
351,Standard Class,2,4
352,Standard Class,6,4
353,Standard Class,5,4
354,Standard Class,2,4
355,Standard Class,4,4
356,Standard Class,2,4
357,Standard Class,5,4
358,Standard Class,2,4
359,Standard Class,6,4
360,Standard Class,3,4
361,Standard Class,5,4
362,Standard Class,6,4
363,Standard Class,3,4
364,Standard Class,2,4
365,Second Class,6,2
366,Standard Class,5,4
367,Standard Class,4,4
368,Standard Class,3,4
369,Standard Class,2,4
370,Second Class,6,2
371,Standard Class,5,4
372,First Class,2,1
373,Standard Class,3,4
374,Standard Class,2,4
375,Standard Class,6,4
376,Standard Class,5,4
377,Standard Class,4,4
378,Standard Class,3,4
379,Standard Class,2,4
380,Second Class,6,2
381,Standard Class,5,4
382,Standard Class,4,4
383,Standard Class,3,4
384,First Class,2,1
385,First Class,2,1
386,First Class,2,1
387,First Class,2,1
388,Same Day,0,0
389,Same Day,0,0
390,Same Day,0,0
391,Standard Class,5,4
392,Standard Class,4,4
393,Standard Class,3,4
394,Standard Class,2,4
395,Standard Class,6,4
396,Standard Class,5,4
397,Second Class,4,2
398,Standard Class,3,4
399,Second Class,2,2
400,First Class,2,1
401,Second Class,5,2
402,Second Class,4,2
403,Standard Class,3,4
404,Standard Class,2,4
405,Standard Class,6,4
406,Standard Class,5,4
407,Second Class,4,2
408,Second Class,3,2
409,Standard Class,2,4
410,Standard Class,6,4
411,Standard Class,5,4
412,Second Class,4,2
413,Standard Class,3,4
414,Standard Class,2,4
415,Second Class,6,2
416,Second Class,5,2
417,First Class,2,1
418,First Class,2,1
419,Second Class,2,2
420,Second Class,6,2
421,Second Class,5,2
422,First Class,2,1
423,First Class,2,1
424,First Class,2,1
425,Standard Class,6,4
426,Standard Class,5,4
427,Standard Class,4,4
428,Standard Class,3,4
429,Standard Class,2,4
430,Standard Class,6,4
431,Standard Class,5,4
432,Standard Class,4,4
433,Standard Class,3,4
434,Standard Class,2,4
435,Standard Class,6,4
436,Standard Class,5,4
437,Standard Class,4,4
438,Standard Class,3,4
439,Standard Class,2,4
440,Standard Class,6,4
441,Standard Class,5,4
442,Second Class,4,2
443,Second Class,3,2
444,First Class,2,1
445,Second Class,6,2
446,Second Class,5,2
447,Second Class,4,2
448,Same Day,1,0
449,Same Day,1,0
450,Same Day,1,0
451,Same Day,1,0
452,Same Day,1,0
453,Same Day,1,0
454,Same Day,1,0
455,Standard Class,6,4
456,Standard Class,5,4
457,Standard Class,4,4
458,Standard Class,3,4
459,Second Class,6,2
460,Second Class,6,2
461,Second Class,2,2
462,Second Class,6,2
463,Second Class,5,2
464,Second Class,3,2
465,Second Class,3,2
466,Second Class,2,2
467,Second Class,2,2
468,Second Class,6,2
469,Second Class,2,2
470,Second Class,5,2
471,Second Class,5,2
472,Second Class,3,2
473,Second Class,5,2
474,Second Class,6,2
475,Second Class,2,2
476,Second Class,5,2
477,Second Class,5,2
478,Second Class,4,2
479,Second Class,6,2
480,Second Class,3,2
481,Second Class,2,2
482,Second Class,6,2
483,Second Class,2,2
484,Second Class,2,2
485,Second Class,4,2
486,Second Class,3,2
487,Second Class,3,2
488,Second Class,2,2
489,Second Class,3,2
490,Second Class,2,2
491,Second Class,4,2
492,Second Class,2,2
493,Second Class,3,2
494,Second Class,5,2
495,Second Class,2,2
496,Second Class,3,2
497,Second Class,2,2
498,Second Class,5,2
499,Second Class,4,2
500,Second Class,3,2
